id,keyword,text,pics,timestamp,source,user_name,reposts_count,comments_count,attitudes_count,created_at,updated_at
5226443170907727,许绍雄病危,曝许绍雄病危入院看这样子，应该情况不是很好了，希望许绍雄先生能平安，早日康复吴孟达和午马都走了，金牌绿叶只剩这一位了佘诗曼是欢喜哥唯一的干女儿#佘诗曼谈许绍雄身体状况落泪# ,https://wx1.sinaimg.cn/large/005Lm1rcgy1i6r5sn9ybuj30x017nafh.jpg,1761564617,新浪微博移动端,不爱香菜YL,6,42,358,2025-10-27 21:04:48,2025-10-27 21:04:48
5226434776009463,曝许绍雄病危入院,#曝许绍雄病危入院#看到这个热搜没有什么实感，直到看到记者一问佘诗曼，佘诗曼虽然说话平静但是眼泪止不住哗啦啦流感觉真的有点不妙…… 补课老师今正疯的微博视频 ,,1761562616,新浪微博移动端,补课老师今正疯,19,12,265,2025-10-27 21:03:37,2025-10-27 21:05:27
5226419017745461,许绍雄病危,香港著名的绿叶演员许绍雄被传出病危住院。刚刚有记者采访佘诗曼，问询情况。佘诗曼直接落泪和哽咽，说有去看望他，许绍雄也在努力中。 ba哥专用的微博视频 ,,1761558859,新浪微博移动端,ba哥专用,10,40,236,2025-10-27 21:05:08,2025-10-27 21:05:08
5226409007255511,曝许绍雄病危入院,佘诗曼谈到许绍雄病危入院，一下就哭了，本来活动结束要直接去机场，但现在要赶去医院。#曝许绍雄病危入院# 香港電影吧的微博视频 ,,1761556472,新浪微博移动端,香港電影吧,214,154,2025,2025-10-27 21:03:31,2025-10-27 21:03:31
5226387296224497,许绍雄病危入院,#曝许绍雄病危入院#许绍雄病危入院，一代人回忆涌上心头，愿平平安安！佘诗曼《无限超越班》那声“老豆”犹在耳边——50周年特别礼物，她哽咽道出心里话：“你让我感受到遗忘很久的父爱...”这位演活无数经典角色的“荧幕爸爸”，从来不只是“混口饭吃”。50年演艺路，他早该拿下这个“最佳金禧男主角 ...全文,,1761551296,新浪微博移动端,大强聊娱乐,14,31,409,2025-10-27 21:04:13,2025-10-27 21:05:49
5226378615328008,许绍雄病危入院,#曝许绍雄病危入院#港媒曝76岁许绍雄病危入院救治，苗侨伟夫妇紧急到医院探望，两人拒绝回应。希望平安吧#一分钟视频创作季# ,https://wx1.sinaimg.cn/large/008kN9vKgy1i6qydpcag1j30ee0j6gmk.jpg,1761549226,新浪微博移动端,落叶霜花梦,1,173,207,2025-10-27 21:04:27,2025-10-27 21:04:27
5226377468970985,曝许绍雄入院,#曝许绍雄病危入院#据港媒报道，76岁的资深演员许绍雄突然病危入院，家人和不少圈中好友被紧急召到医院见面。媒体记者在医院陆续看到好友黎芷珊、苗侨伟夫妇及TVB监制文伟鸿、林志华等人匆忙赶到，众人神情凝重快步进入医院。好突然啊，10月26日晚其女儿还在社交媒体为自己的视频做宣传，未料27日却突 ...全文,"https://wx1.sinaimg.cn/large/006bdrOZly1i6qy9jrf1lj30yv1ewtev.jpg,https://wx1.sinaimg.cn/large/006bdrOZly1i6qy9khukyj30yv1a8n5u.jpg",1761548953,新浪微博移动端,青野泯川,9,87,443,2025-10-27 21:05:42,2025-10-27 21:05:42
5226374380132085,许绍雄病危入院,#曝许绍雄病危入院#74岁的许绍雄最新力作，扮演老大霸气十足 ，不要哇我还挺喜欢看他演的戏的希望早日康复 ,"https://wx1.sinaimg.cn/large/0084emmqgy1i6qxuwzh2tj30qo0zrtd7.jpg,https://wx1.sinaimg.cn/large/0084emmqgy1i6qxuxdrf7j30qo0vsmyi.jpg",1761548216,新浪微博移动端,韩泰颜一,4,14,207,2025-10-27 21:04:33,2025-10-27 21:05:56
5226372622454966,许绍雄病危入院,#曝许绍雄病危入院#曝许绍雄病危住院！希望没事，去年采访还说不会退休，纵横娱乐圈半个世纪里使徒行者里的欢喜哥，香港娱乐圈令观众无比熟悉的“黄金配角”，拍了一部又一部耳熟能详的作品，欢喜哥一定会没事的！ ,"https://wx1.sinaimg.cn/large/d04e8f11ly1i6qxo4lya3j20yi1fbh0j.jpg,https://wx1.sinaimg.cn/large/d04e8f11ly1i6qxo59icij20yi1caao2.jpg",1761547797,新浪微博移动端,我是无敌战斗,45,108,1282,2025-10-27 21:04:21,2025-10-27 21:05:27
5226369858670897,曝许绍雄病危入院,#曝许绍雄病危入院# 据港媒，76岁的“Benz 哥”许绍雄被曝病危入院，黎芷珊、苗侨伟戚美珍夫妇、TVB 监制文伟鸿及林志华等人前往医院，众人神情严肃。 ,"https://wx1.sinaimg.cn/large/001Na93Igy1i6qxcz0s5pj60el06qmxy02.jpg,https://wx1.sinaimg.cn/large/001Na93Igy1i6qxcz1vhaj60cu0h8tbl02.jpg,https://wx1.sinaimg.cn/large/001Na93Igy1i6qxe9rgabj60os14xwmc02.jpg,https://wx1.sinaimg.cn/large/001Na93Igy1i6qxe9jrbuj60rj0g4n2c02.jpg,https://wx1.sinaimg.cn/large/001Na93Igy1i6qxd1ph4xj60nt0zkn0m02.jpg",1761547138,新浪微博移动端,新浪娱乐,633,1482,9312,2025-10-27 21:03:45,2025-10-27 21:03:45
5226369610418471,曝许绍雄病危入院,#曝许绍雄病危入院#港媒报道，香港著名演员“方钟sir”许绍雄病危入院，好友苗侨伟戚美珍夫妇、黎芷珊及TVB监制文伟鸿、林志华等人今天中午神情严肃现身医院探望，不知具体情况如何。 ,"https://wx1.sinaimg.cn/large/706550caly1i6qx89tdwyj20zj1icguy.jpg,https://wx1.sinaimg.cn/large/706550caly1i6qx8ageruj20zu1b7qcq.jpg,https://wx1.sinaimg.cn/large/706550caly1i6qx8a2my8j20zr1asduk.jpg,https://wx1.sinaimg.cn/large/706550caly1i6qx89ixl3j20zu0pljxs.jpg,https://wx1.sinaimg.cn/large/706550caly1i6qyf5gc9uj20qo0zragm.jpg,https://wx1.sinaimg.cn/large/706550caly1i6qx8adrxtj20rs0xc7cz.jpg",1761547079,新浪微博移动端,吃瓜群众CJ,64,43,118,2025-10-27 21:03:38,2025-10-27 21:05:36
